FINALLY;finally;schließlich;enfin;finalmente;finalmente;总算;ついに;마침내;finalmente;w końcu;наконец-то;Sonunda;нарешті
BE;be;sein;être;essere;ser;是;いる;이다;ser;być;быть;olmak;бути
ON;on;auf;sur;su;en;在...上;上に;위에;em;na;на;üzerinde;на
ABOVE;above;über;au-dessus;sopra;encima;在...之上;上方;위에;acima;nad;выше;yukarıda;вище
BELOW;below;unter;en dessous;sotto;debajo;在...之下;下方;아래에;abaixo;pod;ниже;aşağıda;нижче
WITH;with;mit;avec;con;con;和;と一緒に;함께;com;z;с;ile;з
WITHOUT;without;ohne;sans;senza;sin;没有;なしで;없이;sem;bez;без;olmadan;без
NOT;not;nicht;ne pas;non;no;不;ない;아니다;não;nie;не;değil;не
TOP;top;oben;haut;cima;arriba;顶部;上部;상단;topo;szczyt;верх;üst;верхній
BOTTOM;bottom;unten;bas;fondo;abajo;底部;下部;하단;fundo;dół;низ;alt;нижній
BETWEEN;between;zwischen;entre;tra;entre;之间;間;사이에;entre;między;между;arasında;між
FROM;from;von;de;da;de;从;から;부터;de;od;из;itibaren;від
TO;to;zu;à;a;a;到;へ;에;para;do;к;için;до
BUT;but;aber;mais;ma;pero;但是;しかし;그러나;mas;ale;но;ama;але
OK;OK;OK;OK;OK;OK;好;OK;좋아요;OK;OK;ОК;Tamam;ГАРАЗД.
SMILE;:);:);:);:);:);:);:);:);:);:);:);:);:)
BYE;Bye;Tschüss;Au revoir;Ciao;Adiós;再见;さようなら;안녕;Tchau;Do widzenia;Пока;Hoşça kal;Бувай.
HEART;<3;<3;<3;<3;<3;<3;<3;<3;<3;<3;<3;<3;<3
